fmm_item_number,fmm_description,web_description,category,uom_schedule,selling_uom,vfd_required,minimum_order,sold_individually
1008,ALL STOCK 32% 50#,MATTHEWS ALL STOCK 32% PREMIX 50#,Matthews Feed & Private Label,POUND-4,BAG-50,,,
1031,AS 700 2G CRUMBLES,AS 700 2G CRUMBLES,Matthews Feed & Private Label,POUND-4,POUND,VFD/AOD REQUIRED,1 TON MINIMUM,
3009,THRIVE 3.25LB (8/CASE),TTF THRIVE 3.25# (8/CASE),Sunglo Feed,EACH-4,EACH,,,YES
3450,LINDNER 600 PELLET,LINDNER 600 PELLET,Lindner Feed,EACH-4,BAG-50,,,
3501,FULL FIGURE 20# BAG,FULL FIGURE 20# BAG,Lindner Feed,POUND-4,POUND,,,
